fish,Tx
A1,DD
A2,DD
A3,DD
A4,DD
A5,DD
A6,DD
A7,DD
A8,DD
A9,DD
A10,DD
A11,DD
A12,DD
B1,DD
B2,DD
B3,DD
B4,DD
B5,DD
B6,DD
B7,DD
B8,DD
B9,DD
B10,DD
B11,DD
B12,DD
C1,DD
C2,DD
C3,DD
C4,DD
C5,DD
C6,DD
C7,DD
C8,DD
C9,DD
C10,DD
C11,DD
C12,DD
D1,Empty
D2,Empty
D3,Empty
D4,Empty
D5,Empty
D6,Empty
D7,Empty
D8,Empty
D9,Empty
D10,Empty
D11,Empty
D12,Empty
E1,Empty
E2,Empty
E3,Empty
E4,Empty
E5,Empty
E6,Empty
E7,Empty
E8,Empty
E9,Empty
E10,Empty
E11,Empty
E12,Empty
F1,LD
F2,LD
F3,LD
F4,LD
F5,LD
F6,LD
F7,LD
F8,LD
F9,LD
F10,LD
F11,LD
F12,LD
G1,LD
G2,LD
G3,LD
G4,LD
G5,LD
G6,LD
G7,LD
G8,LD
G9,LD
G10,LD
G11,LD
G12,LD
H1,LD
H2,LD
H3,LD
H4,LD
H5,LD
H6,LD
H7,LD
H8,LD
H9,LD
H10,LD
H11,LD
H12,LD
